latitude,longitude,concentration_pct,thickness_m,category,source,timestamp
-72.0,12.0,93.7,1.89,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,12.5,99.1,1.98,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,13.0,99.8,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,13.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,14.0,99.4,1.99,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,14.5,97.9,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,15.0,94.4,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,15.5,94.7,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,16.0,97.6,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,16.5,94.8,1.91,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,17.0,97.7,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,17.5,95.4,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,18.0,98.8,1.98,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,18.5,96.3,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,19.0,95.3,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,19.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,20.0,99.1,1.98,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,20.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,21.0,93.2,1.88,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,21.5,97.4,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-72.0,22.0,96.1,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,0.0,93.5,1.88,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,0.5,96.1,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,1.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,1.5,92.9,1.87,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,2.0,90.5,1.83,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,2.5,99.3,1.99,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,3.0,91.8,1.85,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,3.5,87.6,1.78,High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,4.0,99.2,1.99,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,4.5,93.6,1.89,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,5.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,5.5,98.7,1.98,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,6.0,96.3,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,6.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,7.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,7.5,97.2,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,8.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,8.5,91.7,1.85,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,9.0,94.4,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,9.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,10.0,98.2,1.97,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,10.5,94.2,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,11.0,95.9,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,11.5,91.8,1.85,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,12.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,12.5,96.4,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,13.0,95.5,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,13.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,14.0,92.3,1.86,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,14.5,96.8,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,15.0,97.6,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,15.5,96.7,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,16.0,99.6,1.99,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,16.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,17.0,93.5,1.88,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,17.5,93.9,1.89,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,18.0,96.1,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,18.5,93.2,1.88,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,19.0,96.4,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,19.5,94.6,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,20.0,96.4,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,20.5,92.2,1.86,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,21.0,97.5,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,21.5,97.3,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.5,22.0,94.3,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,0.0,93.6,1.89,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,0.5,96.6,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,1.0,99.0,1.98,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,1.5,96.0,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,2.0,96.7,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,2.5,95.5,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,3.0,96.6,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,3.5,97.8,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,4.0,96.5,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,4.5,97.0,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,5.0,90.8,1.83,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,5.5,93.5,1.88,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,6.0,92.9,1.87,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,6.5,94.7,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,7.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,7.5,98.7,1.98,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,8.0,93.0,1.87,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,8.5,99.0,1.98,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,9.0,95.4,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,9.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,10.0,92.8,1.87,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,10.5,98.2,1.97,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,11.0,97.2,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,11.5,93.6,1.89,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,12.0,95.5,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,12.5,91.5,1.85,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,13.0,94.7,1.91,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,13.5,96.8,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,14.0,95.5,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,14.5,96.1,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,15.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,15.5,96.2,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,16.0,98.0,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,16.5,98.4,1.97,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,17.0,98.9,1.98,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,17.5,95.2,1.91,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,18.0,92.3,1.86,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,18.5,99.3,1.99,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,19.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,19.5,92.3,1.86,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,20.0,88.1,1.79,High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,20.5,98.0,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,21.0,98.2,1.97,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,21.5,97.3,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-71.0,22.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,0.0,91.9,1.85,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,0.5,97.7,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,1.0,95.9,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,1.5,99.5,1.99,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,2.0,98.0,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,2.5,97.9,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,3.0,99.5,1.99,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,3.5,96.5,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,4.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,4.5,93.8,1.89,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,5.0,97.3,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,5.5,97.7,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,6.0,94.3,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,6.5,89.2,1.81,High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,7.0,96.7,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,7.5,90.3,1.83,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,8.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,8.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,9.0,99.9,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,9.5,88.8,1.8,High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,10.0,94.6,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,10.5,89.7,1.81,High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,11.0,84.3,1.72,High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,11.5,91.6,1.85,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,12.0,88.7,1.8,High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,12.5,96.3,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,13.0,90.5,1.83,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,13.5,97.8,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,14.0,93.5,1.88,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,14.5,89.7,1.82,High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,15.0,96.9,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,15.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,16.0,97.6,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,16.5,95.4,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,17.0,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,17.5,96.9,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,18.0,93.5,1.88,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,18.5,92.3,1.86,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,19.0,97.7,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,19.5,96.9,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,20.0,98.7,1.98,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,20.5,96.3,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,21.0,92.4,1.86,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,21.5,95.3,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.5,22.0,93.2,1.88,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,0.0,96.7,1.94,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,0.5,97.2,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,1.0,90.7,1.83,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,1.5,95.9,1.93,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,2.0,94.5,1.9,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,2.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,3.0,99.3,1.99,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,3.5,95.3,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,4.0,90.6,1.83,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,4.5,99.8,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,5.0,97.6,1.96,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,5.5,93.3,1.88,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,6.0,97.2,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,6.5,92.7,1.87,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,7.0,98.3,1.97,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,7.5,100.0,2.0,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,8.0,95.8,1.92,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,8.5,93.6,1.89,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
-70.0,9.0,97.0,1.95,Very High Ice,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.813836
