latitude,longitude,air_temp_c,wind_speed_knots,wind_direction_deg,wave_height_m,wave_period_s,pressure_hpa,visibility_km,precipitation_mm,source,timestamp
-72.0,13.0,-24.1,29.7,114.5,0.5,7.6,974.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,14.0,-23.3,30.9,117.8,0.6,7.7,977.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,15.0,-22.4,33.0,143.8,0.6,7.7,971.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,16.0,-22.9,35.2,117.2,0.6,7.7,972.2,4.0,1.5,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,17.0,-23.6,20.5,147.9,0.4,7.5,975.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,18.0,-22.3,26.7,134.0,0.5,7.6,973.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,19.0,-24.2,28.0,156.0,0.5,7.6,974.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,20.0,-21.2,27.8,129.6,0.5,7.6,969.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,21.0,-21.8,25.5,142.0,0.5,7.6,968.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,22.0,-22.9,36.9,158.8,0.6,7.7,972.1,4.0,1.5,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,0.0,-19.5,24.7,123.6,0.5,7.6,977.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,1.0,-20.7,23.3,115.3,0.5,7.6,971.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,2.0,-24.0,28.5,127.5,0.5,7.6,978.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,3.0,-22.6,40.0,144.9,0.7,7.8,973.1,4.0,1.5,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,4.0,-22.0,28.4,112.5,0.5,7.6,978.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,5.0,-18.4,24.6,138.6,0.5,7.6,974.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,6.0,-19.8,28.5,133.0,0.5,7.6,968.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,7.0,-19.0,21.8,118.3,0.4,7.5,974.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,8.0,-20.7,28.7,126.7,0.5,7.6,976.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,9.0,-22.1,26.7,143.5,0.5,7.6,976.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,10.0,-22.0,23.4,134.9,0.5,7.6,970.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,11.0,-21.6,36.7,142.1,0.6,7.7,975.5,4.0,1.5,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,12.0,-21.0,28.2,123.9,0.5,7.6,972.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,13.0,-21.4,15.9,119.1,0.4,7.5,974.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,14.0,-21.1,28.4,113.8,0.5,7.6,977.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,15.0,-21.6,21.2,156.0,0.4,7.5,975.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,16.0,-19.6,28.5,150.7,0.5,7.6,971.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,17.0,-19.5,27.2,160.9,0.5,7.6,971.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,18.0,-22.7,33.7,144.3,0.6,7.7,981.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,19.0,-21.8,28.3,158.4,0.5,7.6,975.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,20.0,-21.2,24.5,120.3,0.5,7.6,971.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,21.0,-23.0,34.6,131.8,0.6,7.7,971.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-71.0,22.0,-22.2,18.8,151.7,0.4,7.5,975.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,0.0,-19.9,25.5,145.6,0.5,7.6,975.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,1.0,-19.1,24.2,141.4,0.5,7.6,975.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,2.0,-21.1,24.9,139.8,0.5,7.6,975.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,3.0,-21.1,26.7,139.0,0.5,7.6,980.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,4.0,-19.7,29.9,134.2,0.5,7.6,978.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,5.0,-21.7,28.1,126.9,0.5,7.6,974.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,6.0,-20.8,32.3,140.6,0.6,7.7,975.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,7.0,-18.9,33.6,126.6,0.6,7.7,976.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,8.0,-20.5,31.4,131.4,0.6,7.7,979.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,9.0,-18.2,31.9,154.4,0.6,7.7,981.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,10.0,-21.1,26.1,119.4,0.5,7.6,969.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,11.0,-18.5,23.9,106.4,0.5,7.6,973.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,12.0,-19.7,33.3,132.5,0.6,7.7,972.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,13.0,-20.8,18.7,126.1,0.4,7.5,977.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,14.0,-19.1,35.9,120.6,0.6,7.7,977.7,4.0,1.5,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,15.0,-21.6,32.8,115.0,0.6,7.7,973.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,16.0,-22.0,28.0,137.7,0.5,7.6,978.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,17.0,-17.3,18.3,146.9,0.4,7.5,973.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,18.0,-22.5,29.0,125.9,0.5,7.6,974.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,19.0,-19.9,31.1,139.2,0.6,7.7,976.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,20.0,-21.9,32.2,125.9,0.6,7.7,971.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,21.0,-22.9,33.4,128.5,0.6,7.7,974.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-70.0,22.0,-19.5,30.5,135.0,0.5,7.6,975.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,0.0,-19.7,30.8,149.9,0.5,7.6,987.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,1.0,-19.2,38.2,119.1,0.6,7.7,979.3,4.0,1.5,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,2.0,-17.7,26.7,141.1,0.5,7.6,977.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,3.0,-20.0,25.9,128.1,0.5,7.6,980.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,4.0,-19.2,25.7,154.6,0.5,7.6,978.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,5.0,-18.3,15.0,141.5,0.4,7.5,983.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,6.0,-19.1,32.4,133.1,0.6,7.7,979.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,7.0,-18.6,22.6,121.1,0.5,7.6,978.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,8.0,-19.7,36.4,151.2,0.6,7.7,973.0,4.0,1.5,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,9.0,-18.0,24.4,133.6,0.5,7.6,977.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,10.0,-18.9,26.0,169.5,0.5,7.6,976.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,11.0,-18.4,34.7,124.9,0.6,7.7,978.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,12.0,-19.5,23.2,133.7,0.5,7.6,979.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,13.0,-20.0,30.8,144.5,0.5,7.6,983.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,14.0,-18.1,33.0,144.3,0.6,7.7,980.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,15.0,-17.0,37.5,144.1,0.6,7.7,972.8,4.0,1.5,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,16.0,-19.4,33.5,124.0,0.6,7.7,987.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,17.0,-19.9,24.8,132.2,0.5,7.6,981.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,18.0,-19.3,31.9,102.7,0.6,7.7,982.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,19.0,-19.4,26.6,129.7,0.5,7.6,977.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,20.0,-18.6,30.6,155.2,0.5,7.6,980.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,21.0,-17.5,31.5,130.7,0.6,7.7,979.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-69.0,22.0,-19.4,22.7,149.2,0.5,7.6,978.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,0.0,-18.3,25.5,123.7,0.5,7.6,979.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,1.0,-16.5,25.4,113.5,0.5,7.6,984.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,2.0,-18.0,27.5,132.2,0.5,7.6,982.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,3.0,-14.7,32.9,118.3,0.6,7.7,981.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,4.0,-16.8,32.5,141.1,0.6,7.7,982.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,5.0,-20.5,32.1,153.4,0.6,7.7,978.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,6.0,-17.5,31.2,139.8,0.6,7.7,978.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,7.0,-17.0,30.3,145.6,0.5,7.6,982.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,8.0,-18.5,34.7,146.1,0.6,7.7,984.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,9.0,-20.2,24.6,140.4,0.5,7.6,975.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,10.0,-17.4,31.0,102.2,0.6,7.7,979.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,11.0,-16.8,28.9,151.6,0.5,7.6,986.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,12.0,-19.7,20.1,151.1,0.4,7.5,987.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,13.0,-18.1,24.7,137.9,0.5,7.6,979.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,14.0,-17.5,31.0,113.1,0.6,7.7,981.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,15.0,-19.3,27.7,140.8,0.5,7.6,983.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,16.0,-19.3,28.6,167.1,0.5,7.6,980.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,17.0,-15.7,31.2,131.4,0.6,7.7,981.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,18.0,-15.7,23.6,145.4,0.5,7.6,985.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,19.0,-17.0,26.8,165.9,0.5,7.6,981.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,20.0,-17.7,25.8,143.5,0.5,7.6,983.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,21.0,-18.1,30.0,123.5,0.5,7.6,978.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-68.0,22.0,-19.8,13.7,129.6,0.4,7.5,984.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,0.0,-16.1,16.0,183.7,0.7,7.8,983.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,1.0,-14.9,25.8,209.1,0.9,8.1,984.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,2.0,-14.8,19.7,184.5,0.8,8.0,983.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,3.0,-16.9,20.2,199.0,0.8,8.0,981.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,4.0,-18.0,17.4,243.1,0.7,7.8,983.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,5.0,-15.5,21.6,238.6,0.8,8.0,985.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,6.0,-15.9,24.2,181.1,0.9,8.1,989.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,7.0,-17.0,21.9,209.6,0.8,8.0,985.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,8.0,-13.1,16.5,227.4,0.7,7.8,985.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,9.0,-14.6,14.5,207.9,0.7,7.8,980.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,10.0,-14.4,19.3,198.7,0.8,8.0,980.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,11.0,-15.3,21.3,209.8,0.8,8.0,985.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,12.0,-17.7,21.1,198.9,0.8,8.0,986.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,13.0,-16.8,13.4,232.6,0.6,7.7,985.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,14.0,-15.4,8.0,194.2,0.5,7.6,986.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,15.0,-15.2,9.7,217.3,0.6,7.7,982.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,16.0,-17.1,17.8,206.4,0.7,7.8,989.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,17.0,-14.8,17.6,227.3,0.7,7.8,985.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,18.0,-17.6,12.9,163.4,0.6,7.7,986.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,19.0,-14.7,18.0,240.5,0.8,8.0,989.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,20.0,-17.3,22.5,226.2,0.9,8.1,982.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,21.0,-16.0,14.0,210.2,0.7,7.8,988.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-67.0,22.0,-16.8,16.9,178.2,0.7,7.8,987.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,0.0,-17.1,15.4,179.9,1.0,8.2,989.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,1.0,-14.1,16.3,214.5,1.1,8.3,990.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,2.0,-13.1,14.1,205.2,1.0,8.2,988.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,3.0,-16.7,8.8,235.1,0.8,8.0,987.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,4.0,-16.4,15.5,190.8,1.0,8.2,992.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,5.0,-15.7,20.9,193.3,1.2,8.4,986.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,6.0,-15.7,20.0,212.7,1.2,8.4,986.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,7.0,-14.2,17.9,221.2,1.1,8.3,986.2,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,8.0,-11.9,14.9,189.7,1.0,8.2,989.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,9.0,-14.3,15.2,227.5,1.0,8.2,989.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,10.0,-12.5,19.2,187.0,1.2,8.4,986.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,11.0,-13.8,21.1,200.9,1.2,8.4,989.7,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,12.0,-16.8,20.5,201.7,1.2,8.4,986.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,13.0,-13.8,19.4,142.7,1.2,8.4,993.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,14.0,-14.8,19.9,155.1,1.2,8.4,988.9,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,15.0,-13.7,24.1,195.4,1.3,8.6,987.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,16.0,-14.1,16.0,207.2,1.1,8.3,990.1,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,17.0,-15.1,17.7,207.9,1.1,8.3,987.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-66.0,18.0,-15.2,8.8,185.5,0.8,8.0,988.0,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
